,Gebirgsbäche im Sauerland ,Plankton der Werse bei Münster ,Ruhr ,Lippe ,Eder ,Salinen und Salzgräben im südlichen Gebiet ,desgl. im nördlichen Gebiet ,Plankton der Talsperren ,Plankton des Dortmund-Ems Kanals ,"Teiche und Moor stellen ,“Kipshagen ”","Seen, Weiher und Moorstellen ,“Heiliges Meer"" ",Moore im Sauer und Münsterland 
b) Rivulariaceae ,,,,,,,,,,,,
32.Homoeothrix spec. ,+,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒
33. Calothrix (fusca?) ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
34. Gloeotrichia Pisum ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,+
"35. ,,intermedia ",‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
c) Scytonemataceae  ,,,,,,,,,,,,
36. Tolypothrix distorta,+,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
37，，tenuis,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
38. Scytonema (crispum?) ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
39. Desmonema Wrangelii ,+,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒
d) Microchaetaceae ,,,,,,,,,,,,
40. Microchaete spec.,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
e) Nostocaceae ,,,,,,,,,,,,
41. Nodularia spumigena ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
42. Nostoc spec. ,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒,+
"43. ,, (Kihlmani?)",‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
44. Anabaena spec. ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,+
"45.  ,, (echinospora?)",‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
"46. ,, flos-aquae",‒,‒,‒,‒,‒,‒,‒,+,‒,‒,‒,‒
47. Cylindrospermum (stagnale?),‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
"48. ,, maius",‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
f)Oscillatoriaceae,,,,,,,,,,,,
49.Borzia trilocularis,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒,‒
"50,Spirulina Nordstedtii",‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
51.Oscillatoria spec.,+,+,‒,‒,‒,‒,‒,‒,+,‒,+,‒
"52 ,, Borneti",+,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒
53. ，， limosa ,‒,‒,+,+,+,‒,‒,‒,‒,‒,+,‒
54. ，，tenuis ,‒,‒,+,+,‒,‒,‒,‒,‒,‒,‒,+
55. ，， Agardhii ,‒,‒,+,‒,‒,‒,‒,+,‒,‒,‒,‒
56. ，， amphibia ,‒,‒,‒,‒,‒,+,+,‒,‒,‒,+,‒
57. ，， amoena ,‒,‒,‒,‒,‒,‒,+,‒,‒,‒,‒,‒
58. ，， splendida ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
59. ，， Boryana ,‒,‒,‒,‒,‒,+,‒,‒,‒,‒,‒,‒
*60. Phormidium spec. ,+,‒,‒,‒,+,‒,‒,‒,‒,‒,+,‒
61. Lyngbya contorta ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
62. (versicolor?) ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
63. Schizothrix spec. ,‒,‒,‒,‒,+,‒,‒,‒,‒,‒,+,‒
64. (Hypheothrix spec.) ,+,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒
Ⅳ. Chlorophyceae. ,,,,,,,,,,,,
a) Tetrasporales ,,,,,,,,,,,,
65.Gloeococcus Schroeteri ,‒,‒,‒,‒,‒,‒,‒,+,‒,‒,+,+
66. Palmella-Zustände,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,+
67. Asterococcus superbus ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,+
68. Gloeocystis ampla ,‒,‒,‒,‒,+,‒,‒,‒,‒,+,+,+
"69. ,, oesiculosa ",‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+
70. Palmodictyon varium ,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,+,‒
71. Tetraspora gelatinosa ,+,‒,‒,‒,+,‒,‒,‒,‒,‒,+,+
72. ，， cylindrica  ,+,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒,‒
