scientificName,Location,OccurrenceStatus,basisOfRecord
b) Rivulariaceae ,Gebirgsbäche im Sauerland ,,Human observation
32.Homoeothrix spec. ,Gebirgsbäche im Sauerland ,Present,Human observation
33. Calothrix (fusca?) ,Gebirgsbäche im Sauerland ,Absent,Human observation
34. Gloeotrichia Pisum ,Gebirgsbäche im Sauerland ,Absent,Human observation
"35. ,,intermedia ",Gebirgsbäche im Sauerland ,Absent,Human observation
c) Scytonemataceae  ,Gebirgsbäche im Sauerland ,,Human observation
36. Tolypothrix distorta,Gebirgsbäche im Sauerland ,Present,Human observation
37，，tenuis,Gebirgsbäche im Sauerland ,Absent,Human observation
38. Scytonema (crispum?) ,Gebirgsbäche im Sauerland ,Absent,Human observation
b) Rivulariaceae ,Plankton der Werse bei Münster ,,Human observation
32.Homoeothrix spec. ,Plankton der Werse bei Münster ,Absent,Human observation
33. Calothrix (fusca?) ,Plankton der Werse bei Münster ,Absent,Human observation
34. Gloeotrichia Pisum ,Plankton der Werse bei Münster ,Absent,Human observation
"35. ,,intermedia ",Plankton der Werse bei Münster ,Absent,Human observation
c) Scytonemataceae  ,Plankton der Werse bei Münster ,,Human observation
36. Tolypothrix distorta,Plankton der Werse bei Münster ,Absent,Human observation
37，，tenuis,Plankton der Werse bei Münster ,Absent,Human observation
38. Scytonema (crispum?) ,Plankton der Werse bei Münster ,Absent,Human observation
b) Rivulariaceae ,Ruhr ,,Human observation
32.Homoeothrix spec. ,Ruhr ,Absent,Human observation
33. Calothrix (fusca?) ,Ruhr ,Absent,Human observation
34. Gloeotrichia Pisum ,Ruhr ,Absent,Human observation
"35. ,,intermedia ",Ruhr ,Absent,Human observation
c) Scytonemataceae  ,Ruhr ,,Human observation
36. Tolypothrix distorta,Ruhr ,Absent,Human observation
37，，tenuis,Ruhr ,Absent,Human observation
38. Scytonema (crispum?) ,Ruhr ,Absent,Human observation
b) Rivulariaceae ,Lippe ,,Human observation
32.Homoeothrix spec. ,Lippe ,Absent,Human observation
33. Calothrix (fusca?) ,Lippe ,Absent,Human observation
34. Gloeotrichia Pisum ,Lippe ,Absent,Human observation
"35. ,,intermedia ",Lippe ,Absent,Human observation
c) Scytonemataceae  ,Lippe ,,Human observation
36. Tolypothrix distorta,Lippe ,Absent,Human observation
37，，tenuis,Lippe ,Absent,Human observation
38. Scytonema (crispum?) ,Lippe ,Absent,Human observation
b) Rivulariaceae ,Eder ,,Human observation
32.Homoeothrix spec. ,Eder ,Absent,Human observation
33. Calothrix (fusca?) ,Eder ,Absent,Human observation
34. Gloeotrichia Pisum ,Eder ,Absent,Human observation
"35. ,,intermedia ",Eder ,Absent,Human observation
c) Scytonemataceae  ,Eder ,,Human observation
36. Tolypothrix distorta,Eder ,Absent,Human observation
37，，tenuis,Eder ,Absent,Human observation
38. Scytonema (crispum?) ,Eder ,Absent,Human observation
b) Rivulariaceae ,Salinen und Salzgräben im südlichen Gebiet ,,Human observation
32.Homoeothrix spec. ,Salinen und Salzgräben im südlichen Gebiet ,Absent,Human observation
33. Calothrix (fusca?) ,Salinen und Salzgräben im südlichen Gebiet ,Absent,Human observation
34. Gloeotrichia Pisum ,Salinen und Salzgräben im südlichen Gebiet ,Absent,Human observation
"35. ,,intermedia ",Salinen und Salzgräben im südlichen Gebiet ,Absent,Human observation
c) Scytonemataceae  ,Salinen und Salzgräben im südlichen Gebiet ,,Human observation
