scientificName,location,OccurrenceStatus,basisOfRecord,kingdom
Rivulariaceae,Gebirgsbäche im Sauerland,,Human Observation,
Homoeothrix spec.,Gebirgsbäche im Sauerland,present,Human Observation,
Calothrix (fusca?),Gebirgsbäche im Sauerland,absent,Human Observation,
Gloeotrichia Pisum,Gebirgsbäche im Sauerland,absent,Human Observation,
Gloeotrichia intermedia,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Scytonemataceae,Gebirgsbäche im Sauerland,,Human Observation,Bacteria
Tolypothrix distorta,Gebirgsbäche im Sauerland,present,Human Observation,
Tolypothrix tenuis,Gebirgsbäche im Sauerland,absent,Human Observation,
Scytonema (crispum?),Gebirgsbäche im Sauerland,absent,Human Observation,Plantae
Desmonema Wrangelii,Gebirgsbäche im Sauerland,present,Human Observation,Bacteria
Microchaetaceae,Gebirgsbäche im Sauerland,,Human Observation,Bacteria
Microchaete spec.,Gebirgsbäche im Sauerland,absent,Human Observation,
Nostocaceae,Gebirgsbäche im Sauerland,,Human Observation,Bacteria
Nodularia spumigena,Gebirgsbäche im Sauerland,absent,Human Observation,
Nostoc spec.,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Nostoc (Kihlmani?),Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Anabaena spec.,Gebirgsbäche im Sauerland,absent,Human Observation,
Anabaena (echinospora?),Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Anabaena flos-aquae,Gebirgsbäche im Sauerland,absent,Human Observation,
Cylindrospermum (stagnale?),Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Cylindrospermum maius,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Oscillatoriaceae,Gebirgsbäche im Sauerland,,Human Observation,Bacteria
Borzia trilocularis,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Borzia Spirulina Nordstedtii,Gebirgsbäche im Sauerland,absent,Human Observation,
Oscillatoria spec.,Gebirgsbäche im Sauerland,present,Human Observation,
Oscillatoria Borneti,Gebirgsbäche im Sauerland,present,Human Observation,Bacteria
Oscillatoria limosa,Gebirgsbäche im Sauerland,absent,Human Observation,
Oscillatoria tenuis,Gebirgsbäche im Sauerland,absent,Human Observation,
Oscillatoria Agardhii,Gebirgsbäche im Sauerland,absent,Human Observation,
Oscillatoria amphibia,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Oscillatoria amoena,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Oscillatoria splendida,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
Oscillatoria Boryana,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
*60. Phormidium spec.,Gebirgsbäche im Sauerland,present,Human Observation,
Lyngbya contorta,Gebirgsbäche im Sauerland,absent,Human Observation,Bacteria
(versicolor?),Gebirgsbäche im Sauerland,absent,Human Observation,Metazoa
Schizothrix spec.,Gebirgsbäche im Sauerland,absent,Human Observation,
(Hypheothrix spec.),Gebirgsbäche im Sauerland,present,Human Observation,
Ⅳ. Chlorophyceae.,Gebirgsbäche im Sauerland,,Human Observation,
Tetrasporales,Gebirgsbäche im Sauerland,,Human Observation,Viridiplantae
Gloeococcus Schroeteri,Gebirgsbäche im Sauerland,absent,Human Observation,Plantae
Palmella-Zustände,Gebirgsbäche im Sauerland,absent,Human Observation,Plantae
Asterococcus superbus,Gebirgsbäche im Sauerland,absent,Human Observation,Plantae
Gloeocystis ampla,Gebirgsbäche im Sauerland,absent,Human Observation,Plantae
Gloeocystis oesiculosa,Gebirgsbäche im Sauerland,absent,Human Observation,
Palmodictyon varium,Gebirgsbäche im Sauerland,absent,Human Observation,Plantae
Tetraspora gelatinosa,Gebirgsbäche im Sauerland,present,Human Observation,Plantae
Tetraspora cylindrica,Gebirgsbäche im Sauerland,present,Human Observation,Viridiplantae
Rivulariaceae,Plankton der Werse bei Münster,,Human Observation,
Homoeothrix spec.,Plankton der Werse bei Münster,absent,Human Observation,
