scientificName,location,OccurrenceStatus,basisOfRecord,kingdom,coordinates,latitude,longitude
Oscillatoriaceae,Salinen und Salzgräben im südlichen Gebiet,,Human Observation,Bacteria,"(50.5432, 8.7654)",50.5432,8.7654
Cylindrospermum (stagnale?),Moore im Sauer und Münsterland,absent,Human Observation,Bacteria,"(51.2345, 7.5432)",51.2345,7.5432
Oscillatoria tenuis,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation,,"(50.5432, 8.7654)",50.5432,8.7654
Nodularia spumigena,Moore im Sauer und Münsterland,absent,Human Observation,,"(51.2345, 7.5432)",51.2345,7.5432
Oscillatoria Agardhii,"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation,,"(51.6543, 8.0987)",51.6543,8.0987
Palmodictyon varium,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation,Plantae,"(50.5432, 8.7654)",50.5432,8.7654
Homoeothrix spec.,Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation,,"(50.5432, 8.7654)",50.5432,8.7654
Cylindrospermum maius,Moore im Sauer und Münsterland,absent,Human Observation,Bacteria,"(51.2345, 7.5432)",51.2345,7.5432
Anabaena (echinospora?),Salinen und Salzgräben im südlichen Gebiet,absent,Human Observation,Bacteria,"(50.5432, 8.7654)",50.5432,8.7654
Oscillatoria limosa,Plankton des Dortmund-Ems Kanals,absent,Human Observation,,"(51.8765, 7.2109)",51.8765,7.2109
Oscillatoriaceae,"Teiche und Moor stellen ,“Kipshagen ”",,Human Observation,Bacteria,"(51.6543, 8.0987)",51.6543,8.0987
Borzia Spirulina Nordstedtii,Moore im Sauer und Münsterland,absent,Human Observation,,"(51.2345, 7.5432)",51.2345,7.5432
Anabaena (echinospora?),desgl. im nördlichen Gebiet,absent,Human Observation,Bacteria,"(50.789, 8.1234)",50.789,8.1234
Oscillatoria splendida,Eder,absent,Human Observation,Bacteria,"(50.8765, 8.3456)",50.8765,8.3456
Oscillatoria spec.,Moore im Sauer und Münsterland,absent,Human Observation,,"(51.2345, 7.5432)",51.2345,7.5432
Anabaena flos-aquae,Plankton der Werse bei Münster,absent,Human Observation,,"(51.9876, 7.6543)",51.9876,7.6543
Borzia Spirulina Nordstedtii,Ruhr,absent,Human Observation,,"(51.4567, 7.8901)",51.4567,7.8901
Gloeotrichia Pisum,Lippe,absent,Human Observation,,"(51.2345, 8.9012)",51.2345,8.9012
Tetraspora cylindrica,Gebirgsbäche im Sauerland,present,Human Observation,Viridiplantae,"(51.1234, 8.5678)",51.1234,8.5678
Oscillatoria spec.,desgl. im nördlichen Gebiet,absent,Human Observation,,"(50.789, 8.1234)",50.789,8.1234
Scytonemataceae,Plankton der Talsperren,,Human Observation,Bacteria,"(51.4321, 7.5432)",51.4321,7.5432
Calothrix (fusca?),"Teiche und Moor stellen ,“Kipshagen ”",absent,Human Observation,,"(51.6543, 8.0987)",51.6543,8.0987
Oscillatoria amphibia,"Seen, Weiher und Moorstellen ,“Heiliges Meer""",present,Human Observation,Bacteria,"(52.3456, 7.8901)",52.3456,7.8901
